# Control-plane events: parsed_x86_4.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 10192.231986 s, 46 transfers, span 649.539 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
     2.417 |     1.729 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
     2.949 |     0.509 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     3.414 |     0.441 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     3.832 |     0.394 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     4.165 |     0.309 |     32.0 |      0 | GET_STATUS len=1 -> 32
     4.322 |     0.125 |     33.0 |      0 | GET_STATUS len=1 -> 32
     4.460 |     0.105 |    217.0 |      0 | SET_STATUS wValue=0x0032
     4.911 |     0.234 |     29.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
     5.421 |     0.481 |     26.0 |      0 | SET_INTERFACE intf=0 alt=1
     6.453 |     1.006 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
     6.859 |     0.383 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
     7.260 |     0.378 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
     7.652 |     0.368 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
     8.103 |     0.427 |     49.0 |      0 | GET_STATUS len=1 -> 32
     8.175 |     0.023 |    112.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 96000 Hz
    23.575 |    15.288 |      0.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3
   221.623 |   198.048 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 01 00
   222.017 |     0.192 |    197.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   222.403 |     0.189 |    212.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
   225.064 |     2.449 |    195.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   256.056 |    30.797 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   288.016 |    31.762 |    202.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   320.024 |    31.806 |    204.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   352.022 |    31.794 |    201.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   352.445 |     0.222 |    203.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 00 01 00 00
   352.836 |     0.188 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   353.224 |     0.190 |    198.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   353.611 |     0.189 |    203.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   354.130 |     0.316 |    129.0 |      0 | bRequest=0x03 wValue=0x0001
   515.830 |   161.571 |     79.0 |      0 | bRequest=0x00 len=2 -> 03 00
   516.038 |     0.129 |    128.0 |      0 | bRequest=0x01 wValue=0x0001
   516.445 |     0.279 |    198.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 01 00
   516.895 |     0.252 |    175.0 |      0 | bRequest=0x01 wValue=0x0010 wIndex=0x0001
   517.326 |     0.256 |    198.0 |      0 | bRequest=0x00 wIndex=0x0002 len=4 -> 00 01 00 00
   517.778 |     0.254 |    199.0 |      0 | bRequest=0x00 wIndex=0x0003 len=4 -> 00 01 00 00
   518.155 |     0.178 |    218.0 |      0 | bRequest=0x00 wIndex=0x0004 len=4 -> 00 01 00 00
   620.051 |   101.678 |    200.0 |      0 | bRequest=0x00 wIndex=0x0001 len=4 -> 01 01 00 00
   620.468 |     0.217 |    215.0 |      0 | bRequest=0x03 wValue=0x0016 wIndex=0x0001
